 ,2188
canada,1494
y,1226
trudeau,1126
faire,1125
québec,943
médias,875
the,795
gouvernement,789
pays,691
musulmans,621
presse,604
ans,596
ministre,565
monde,553
loi,522
personnes,517
of,486
fois,475
jamais,471
homme,456
article,455
000,452
parti,445
justin,438
montréal,438
également,436
politique,435
millions,432
déclaré,431
  ,430
al,409
islam,406
groupe,402
temps,400
droit,390
enfants,382
canadiens,379
guerre,378
policier,365
$,357
sécurité,356
1,355
mort,353
voir,352
2,351
and,340
islamique,331
femmes,327
cas,324
vie,321
mois,321
police,321
question,321
partie,318
dollars,312
5,308
jour,303
québécois,303
cause,298
3,297
état,295
10,293
années,289
to,289
journal,289
droits,287
-ce,286
radio-canada,286
pierre,285
demande,284
destruction,283
2018,280
source,279
famille,279
président,272
place,269
immigration,269
nom,268
chrétiens,268
in,268
déjà,267
4,266
m.,264
oui,264
plainte,263
cours,262
chef,261
attaque,260
1998,260
grand,257
canadienne,256
mars,256
société,253
islamistes,251
vidéo,251
juge,249
canadien,248
chose,248
nouvelle,246
+,245
moment,244
histoire,242
massacre,241
octobre,241
faut,241
membres,238
avez,237
jusqu',236
ville,233
rapport,233
cour,227
violence,224
pouvoir,224
groupes,223
ici,223
morts,223
hommes,222
raison,221
ordre,221
terroriste,219
compte,219
population,219
appel,218
jours,216
prendre,216
états-unis,215
femme,215
prise,215
libéral,213
fin,211
projet,211
religion,210
policiers,209
organisation,208
pris,206
année,205
12,204
argent,203
liberté,202
terroristes,202
part,202
virus,200
comprendre,199
reagan,198
nombre,197
public,197
heures,197
droite,196
exemple,195
travail,194
savoir,194
grande,194
toronto,193
but,191
2000,191
juifs,189
6,184
aide,184
contrôle,184
point,183
site,182
20,181
février,181
église,179
journaliste,179
justice,177
articles,177
septembre,177
dion,177
coronavirus,177
plupart,176
google,176
début,175
reçu,175
extrême,175
facebook,175
tête,174
publication,174
bon,173
conseil,173
centre,172
15,172
écrit,171
iran,170
décembre,170
gauche,170
veut,170
juillet,170
peur,169
novembre,169
2019,169
côté,169
région,168
pourtant,168
entreprise,167
bloc,167
élections,166
journalistes,166
peine,166
français,166
mettre,165
services,165
tva,165
demandé,164
nouvelles,163
information,163
7,163
communauté,162
solidaire,162
position,161
30,161
vraiment,161
victimes,161
charkaoui,160
avril,160
utilisé,159
affaires,159
fut,159
arabie,158
sommes,158
egypte,158
t,156
suite,155
donner,155
ancien,155
mis,154
lieu,154
jeune,154
janvier,153
donné,153
main,153
tard,153
système,153
britannique,153
véhicule,152
besoin,152
armée,152
propos,151
programme,151
prison,151
politiques,151
maison,150
is,149
preuve,148
2017,146
mal,146
choses,145
ensuite,145
dossier,145
esprit,145
nord,144
enquête,144
armes,143
service,143
mosquée,143
devrait,142
êtes,142
musulman,142
8,142
mai,142
père,142
2015,142
attaques,141
dernière,141
informations,141
publié,141
m41,141
-t,140
terrorisme,140
ford,140
ben,140
trump,140
jeunes,140
islamiste,140
citoyens,139
devoir,139
américain,138
procès,138
antifas,137
feu,136
maladie,135
affaire,135
crédit,135
manière,134
américains,134
rejetée,134
s,134
13,133
1999,133
existe,132
sociaux,132
petit,132
saoudite,131
menace,131
mère,131
questions,130
publique,130
mise,130
21,130
that,130
g,130
santé,129
50,129
fédéral,128
aider,128
base,128
croire,128
média,128
16,128
aller,128
terre,127
mesure,127
ligne,127
face,127
message,127
université,127
peuple,126
accusé,126
crimes,125
juin,125
sujet,125
faisait,125
for,125
etat,125
retenue,125
esclaves,125
2016,124
milliards,124
mouvement,123
problème,123
mondiale,123
campagne,123
roi,123
tribunal,122
religieux,121
11,121
activités,121
recherche,121
milliers,120
camus,120
musulmane,119
libéraux,118
comprend,118
passer,117
décision,117
bureau,117
14,117
news,117
régime,117
an,117
assassinat,117
coup,116
époque,116
presque,116
frères,115
ensemble,115
long,115
disant,115
soleil,115
ontario,115
simplement,114
internet,114
haine,114
avocat,114
train,114
présente,114
traditionnels,114
intérêts,113
soient,113
1997,113
vue,112
national,112
important,112
poste,112
manifestation,112
rôle,112
réplicase,112
passe,111
-il,111
bonne,111
amérique,111
attentat,111
général,111
france,111
mot,110
situation,110
100,110
mme,110
réponse,109
9,109
immigrants,109
lois,108
genre,108
jihad,108
etc.,108
constitution,108
pillage,108
force,107
accord,107
crime,107
loin,107
bush,107
autorités,107
corps,107
omar,107
manchettes,107
cheney,107
pakistan,106
commis,106
protéger,106
m,106
lecompte,106
confiance,105
banque,105
nationale,105
fondation,105
500,105
charia,104
idée,104
intérieur,104
partir,104
pouvez,104
photo,104
ami,104
fille,104
porte,104
commencé,103
forces,103
rue,103
offre,103
responsable,103
xavier,103
was,103
page,103
taux,103
obtenir,102
matière,102
données,102
sûr,102
agit,102
code,102
vient,102
petite,102
version,101
maroc,101
endroit,101
dernièrement,101
centaines,101
contrat,101
londres,101
gène,101
administration,100
eau,99
no,99
sud,99
fakih,99
origine,98
voulait,98
anglais,98
khadr,98
arméniens,98
livre,97
acte,97
type,97
faits,97
enfant,97
air,97
tué,96
garde,96
semaine,96
terme,95
problèmes,95
expression,95
membre,95
faites,95
grâce,95
donald,95
prix,95
afghanistan,95
paypal,95
réseaux,95
liste,94
coupable,94
amis,94
preuves,94
web,94
partout,93
militaire,93
mondial,93
relations,93
porter,93
propre,93
meurtre,93
création,93
raciste,92
association,92
fonds,92
afrique,92
gouvernements,92
